id,label,house
Shrouded-Lord,Shrouded Lord,Misc
Sigfryd-Harlaw,Sigfryd Harlaw,Misc
Sigorn,Sigorn,Misc
Simon-Toyne,Simon Toyne,Misc
Skahaz-mo-Kandaq,Skahaz mo Kandaq,Misc
Skinner,Skinner,Misc
Small-Paul,Small Paul,Misc
Smiling-Knight,Smiling Knight,Misc
Softfoot,Softfoot,Misc
Soren-Shieldbreaker,Soren Shieldbreaker,Misc
Sour-Alyn,Sour Alyn,Misc
Spare-Boot,Spare Boot,Misc
Spotted-Cat,Spotted Cat,Misc
Squint,Squint,Misc
Squirrel,Squirrel,Misc
Stafford-Lannister,Stafford Lannister,Lannister
Stannis-Baratheon,Stannis Baratheon,Baratheon
Steelskin,Steelskin,Misc
Steffon-Baratheon,Steffon Baratheon,Baratheon
Steffon-Varner,Steffon Varner,Misc
Stevron-Frey,Stevron Frey,Misc
Stiv,Stiv,Misc
Stonesnake,Stonesnake,Misc
Stygg,Stygg,Misc
Styr,Styr,Misc
Sweets,Sweets,Misc
Sybell-Spicer,Sybell Spicer,Misc
Sybelle-Glover,Sybelle Glover,Misc
Sylva-Santagar,Sylva Santagar,Misc
Symon-Silver-Tongue,Symon Silver Tongue,Misc
Symon-Stripeback,Symon Stripeback,Misc
Symond-Templeton,Symond Templeton,Misc
Syrio-Forel,Syrio Forel,Misc
Taena-of-Myr,Taena of Myr,Misc
Talbert-Serry,Talbert Serry,Misc
Talea,Talea,Misc
Tallad,Tallad,Misc
Tanda-Stokeworth,Tanda Stokeworth,Misc
Tansy,Tansy,Misc
Tarber,Tarber,Misc
Tattered-Prince,Tattered Prince,Misc
Ternesio-Terys,Ternesio Terys,Misc
Terrance-Lynderly,Terrance Lynderly,Misc
Theobald,Theobald,Misc
